CodigoMunicipio,NombreMunicipio
0700,Estados Unidos Mexicanos
07000001,Aguascalientes
070000010001,Aguascalientes
070000010002,Asientos
070000010003,Calvillo
070000010004,Cosío
070000010005,Jesús María
070000010006,Pabellón de Arteaga
070000010007,Rincón de Romos
070000010008,San José de Gracia
070000010009,Tepezalá
070000010010,El Llano
070000010011,San Francisco de los Romo
070000010996,No especificado
070000010997,Otros estados
070000010998,Otros municipios
070000010999,Resto de municipios
07000002,Baja California
070000020001,Ensenada
070000020002,Mexicali
070000020003,Tecate
070000020004,Tijuana
070000020005,Playas de Rosarito
070000020006,San Quintín
070000020996,No especificado
070000020997,Otros estados
07000003,Baja California Sur
070000030001,Comondú
070000030002,Mulegé
070000030003,La Paz
070000030008,Los Cabos
070000030009,Loreto
070000030996,No especificado
070000030997,Otros estados
07000004,Campeche
070000040001,Calkiní
070000040002,Campeche
070000040003,Carmen
070000040004,Champotón
070000040005,Hecelchakán
070000040006,Hopelchén
070000040007,Palizada
070000040008,Tenabo
070000040009,Escárcega
070000040010,Calakmul
070000040011,Candelaria
070000040012,Seybaplaya
070000040996,No especificado
070000040997,Otros estados
07000005,Coahuila de Zaragoza
070000050001,Abasolo
070000050002,Acuña
070000050003,Allende
070000050004,Arteaga
070000050005,Candela
070000050006,Castaños
070000050007,Cuatro Ciénegas
070000050008,Escobedo
070000050009,Francisco I. Madero
070000050010,Frontera
070000050011,General Cepeda
070000050012,Guerrero
070000050013,Hidalgo
070000050014,Jiménez
070000050015,Juárez
070000050016,Lamadrid
070000050017,Matamoros
070000050018,Monclova
070000050019,Morelos
070000050020,Múzquiz
070000050021,Nadadores
070000050022,Nava
070000050023,Ocampo
070000050024,Parras
070000050025,Piedras Negras
070000050026,Progreso
070000050027,Ramos Arizpe
070000050028,Sabinas
070000050029,Sacramento
070000050030,Saltillo
070000050031,San Buenaventura
070000050032,San Juan de Sabinas
070000050033,San Pedro
070000050034,Sierra Mojada
070000050035,Torreón
070000050036,Viesca
070000050037,Villa Unión
070000050038,Zaragoza
070000050901,901-Municipios metropolitanos Monclova y Frontera
070000050996,No especificado
070000050997,Otros estados
070000050998,Otros municipios
070000050999,Resto de municipios
07000006,Colima
070000060001,Armería
070000060002,Colima
070000060003,Comala
070000060004,Coquimatlán
070000060005,Cuauhtémoc
070000060006,Ixtlahuacán
070000060007,Manzanillo
070000060008,Minatitlán
070000060009,Tecomán
070000060010,Villa de Álvarez
070000060996,No especificado
070000060997,Otros estados
070000060998,Otros municipios
070000060999,Resto de municipios
07000007,Chiapas
070000070001,Acacoyagua
070000070002,Acala
070000070003,Acapetahua
070000070004,Altamirano
070000070005,Amatán
070000070006,Amatenango de la Frontera
070000070007,Amatenango del Valle
070000070008,Angel Albino Corzo
070000070009,Arriaga
070000070010,Bejucal de Ocampo
070000070011,Bella Vista
070000070012,Berriozábal
070000070013,Bochil
070000070014,El Bosque
070000070015,Cacahoatán
070000070016,Catazajá
070000070017,Cintalapa
070000070018,Coapilla
070000070019,Comitán de Domínguez
070000070020,La Concordia
070000070021,Copainalá
070000070022,Chalchihuitán
070000070023,Chamula
070000070024,Chanal
070000070025,Chapultenango
070000070026,Chenalhó
070000070027,Chiapa de Corzo
070000070028,Chiapilla
070000070029,Chicoasén
070000070030,Chicomuselo
070000070031,Chilón
070000070032,Escuintla
070000070033,Francisco León
070000070034,Frontera Comalapa
070000070035,Frontera Hidalgo
070000070036,La Grandeza
070000070037,Huehuetán
070000070038,Huixtán
070000070039,Huitiupán
070000070040,Huixtla
070000070041,La Independencia
070000070042,Ixhuatán
070000070043,Ixtacomitán
070000070044,Ixtapa
070000070045,Ixtapangajoya
070000070046,Jiquipilas
070000070047,Jitotol
070000070048,Juárez
070000070049,Larráinzar
070000070050,La Libertad
070000070051,Mapastepec
070000070052,Las Margaritas
070000070053,Mazapa de Madero
070000070054,Mazatán
070000070055,Metapa
